Field=Designator~String~Designator~73|Field=LibRef~String~LibRef~115|Field=Description~String~Description~282|Field=Quantity~Integer~Quantity~280|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~MIDI_USB.PrjPcb|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\Projects\MIDI_USB\MIDI_USB.PrjPcb|ReportField=Title~BOM_PartType For Project [MIDI_USB.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~270|ReportField=ReportTime~12:44:54|ReportField=ReportDate~05/03/2022|ReportField=ReportDateTime~05/03/2022 12:44:54|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=1.00|XCorrection=1.00|YCorrection=1.00|PrintKind=1|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=7|PrintQuality=-3|MediaType=1|DitherType=10|PrintScaleMode=1|PaperKind=A3 (Scaled)|PaperIndex=8|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~MIDI_USB.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\Projects\MIDI_USB\MIDI_USB.PrjPcb
F2|RUSBF075|PTC Resettable Fuse 0.75A(hold) 1.3A(trip) 6V 0.3W 0.4s 0.11Ohm Radial 6.9 X 3.1mm Bulk|1
FID1|FIDUCIAL|Fiducial|1
FID2|FIDUCIAL|Fiducial|1
H1|3.0MM HOLE+PAD|3.0mm HOLE+PAD|1
H2|3.0MM HOLE+PAD|3.0mm HOLE+PAD|1
H3|3.0MM HOLE+PAD|3.0mm HOLE+PAD|1
H4|3.0MM HOLE+PAD|3.0mm HOLE+PAD|1
IC1|CP2102N-A02-GQFN28|USB Bridge, USB to UART USB 2.0 UART Interface 28-QFN (5x5)|1
J1|USB2066-05-RBHM-XX-STB-00-00-A_REVD|USB - mini B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle|1
J2|USB-B-S-X-X-TH|USB-B (USB TYPE-B) USB 2.0 Receptacle Connector 4 Position Through Hole, Right Angle|1
J4|USB2066-05-RBHM-XX-STB-00-00-A_REVD|USB - mini B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle|1
J5|USB4110-GF-A_REVB|USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Surface Mount, Right Angle; Through Hole|1
J6|TSW-104-26-F-S||1
J7|TSW-105-23-L-S-LL||1
J8|TSW-104-26-F-S||1
J10|ZF5S-24-01-T-WT||1
J11|TSW-104-26-F-S||1
J13|TSW-104-26-F-S||1
L1|AIMC-0201-12NJ-T|IND 12nH 0.15A 1000m�||1
LED1|ASMB-KTF0-0A306|Red, Green, Blue _RGB_ 620nm Red, 524nm Green, 471nm Blue LED Indication - Discrete 2V Red, 2.95V Green, 2.85V Blue 4-PLCC|1
LED2|ASMB-KTF0-0A306|Red, Green, Blue _RGB_ 620nm Red, 524nm Green, 471nm Blue LED Indication - Discrete 2V Red, 2.95V Green, 2.85V Blue 4-PLCC|1
LED3|ASMB-KTF0-0A306|Red, Green, Blue _RGB_ 620nm Red, 524nm Green, 471nm Blue LED Indication - Discrete 2V Red, 2.95V Green, 2.85V Blue 4-PLCC|1
LED4|ASMB-KTF0-0A306|Red, Green, Blue _RGB_ 620nm Red, 524nm Green, 471nm Blue LED Indication - Discrete 2V Red, 2.95V Green, 2.85V Blue 4-PLCC|1
LED5|ASMB-KTF0-0A306|Red, Green, Blue _RGB_ 620nm Red, 524nm Green, 471nm Blue LED Indication - Discrete 2V Red, 2.95V Green, 2.85V Blue 4-PLCC|1
LED6|ASMB-KTF0-0A306|Red, Green, Blue _RGB_ 620nm Red, 524nm Green, 471nm Blue LED Indication - Discrete 2V Red, 2.95V Green, 2.85V Blue 4-PLCC|1
